"Time","T0104","","T0104","","T0104","","T0104","","T0104","","T0104","","T0104",""
"and","10.00","","400.00","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)","","Umidita' aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 25/12/2009,        47.5,    140,        -0.4,      1,        91.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 26/12/2009,         0.0,    140,        -6.8,      1,        37.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 27/12/2009,         0.0,    140,        -5.9,      1,        31.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 28/12/2009,         0.0,    140,        -6.6,      1,        44.2,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 29/12/2009,         0.0,    140,        -5.2,      1,        60.3,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 30/12/2009,         2.2,    140,        -1.3,      1,        95.5,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 31/12/2009,         0.0,    140,        -1.9,      1,        99.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 01/01/2010,         0.0,    140,        -3.9,      1,        92.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 02/01/2010,         0.2,    140,        -8.8,      1,        72.6,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 03/01/2010,         0.0,    140,       -13.5,      1,        43.4,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 04/01/2010,         0.0,    140,       -12.1,      1,        51.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 05/01/2010,         0.0,    140,        -9.1,      1,        92.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 06/01/2010,         0.0,    140,        -5.8,      1,        95.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 07/01/2010,         0.0,    140,        -7.7,      1,        84.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 08/01/2010,         0.0,    140,        -3.9,      1,        99.5,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 09/01/2010,         0.0,    140,        -2.8,      1,       100.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 10/01/2010,         0.0,    140,        -5.3,      1,        99.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 11/01/2010,         0.0,    140,        -7.2,      1,        97.2,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 12/01/2010,         0.0,    140,        -7.9,      1,        95.6,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 13/01/2010,         0.0,    140,        -8.0,      1,        95.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 14/01/2010,         0.0,    140,        -8.2,      1,        94.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 15/01/2010,         0.0,    140,        -7.4,      1,        77.2,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 16/01/2010,         0.4,    140,        -5.5,      1,        55.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 17/01/2010,         0.8,    140,        -5.3,      1,        78.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 18/01/2010,         0.0,    140,        -6.7,      1,        54.3,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 19/01/2010,         0.0,    140,        -6.5,      1,        46.4,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 20/01/2010,         0.0,    140,        -7.1,      1,        49.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 21/01/2010,         0.2,    140,        -5.2,      1,        49.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 22/01/2010,         0.0,    140,        -6.8,      1,        57.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 23/01/2010,         2.0,    140,        -3.0,      1,        37.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 24/01/2010,         2.2,    140,        -2.9,      1,        29.6,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 25/01/2010,         0.0,    140,        -7.0,      1,        52.3,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 26/01/2010,         0.0,    140,        -8.0,      1,        68.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 27/01/2010,         0.0,    140,        -7.5,      1,        52.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 28/01/2010,         6.0,    140,        -6.9,      1,        48.5,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 29/01/2010,         1.2,    140,       -10.1,      1,        62.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 30/01/2010,         4.8,      1,        -9.0,      1,        87.5,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 31/01/2010,         1.0,      1,       -13.6,      1,        64.4,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 01/02/2010,         0.0,      1,       -13.7,      1,        42.2,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 02/02/2010,         0.0,      1,       -11.5,      1,        42.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 03/02/2010,         0.0,      1,        -8.3,      1,        56.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 04/02/2010,         0.0,      1,        -5.4,      1,        69.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 05/02/2010,        10.6,      1,        -4.7,      1,        96.6,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 06/02/2010,         4.2,      1,        -3.9,      1,        99.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 07/02/2010,         0.0,      1,        -5.8,      1,        70.5,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 08/02/2010,         0.0,      1,        -7.4,      1,        47.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 09/02/2010,         0.0,      1,        -8.3,      1,        63.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 10/02/2010,         4.4,      1,        -7.8,      1,        90.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 11/02/2010,         3.0,      1,        -8.7,      1,        96.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 12/02/2010,         0.2,      1,        -8.6,      1,        93.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 13/02/2010,         0.0,      1,        -7.9,      1,        66.7,      1,"",    151,"",    151,"",    255,"",    255
